epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,719.355,1.2761,0.60106,1.4293,0.94715,0.93381,0.96707,0.56797,1.58369,0.64111,1.79479,0.0091684,0.0091684,0.0091684
44,736.191,1.28658,0.59809,1.44049,0.96332,0.91232,0.95875,0.54123,1.57262,0.92926,1.83761,0.0091486,0.0091486,0.0091486
45,753.052,1.2875,0.60594,1.42155,0.94157,0.91067,0.95258,0.54031,1.72251,0.65772,2.08407,0.0091288,0.0091288,0.0091288
46,769.918,1.27807,0.59556,1.42817,0.95951,0.93548,0.97103,0.56946,1.64081,0.65968,1.8814,0.009109,0.009109,0.009109
47,786.721,1.28033,0.59099,1.42425,0.9512,0.91889,0.96455,0.53067,1.67475,0.65268,1.97797,0.0090892,0.0090892,0.0090892
48,803.545,1.27494,0.59232,1.42042,0.92734,0.97022,0.98038,0.5679,1.6846,0.62931,1.88612,0.0090694,0.0090694,0.0090694
49,820.402,1.2525,0.58142,1.41005,0.94654,0.94293,0.9698,0.55995,1.66742,0.6486,2.00923,0.0090496,0.0090496,0.0090496
50,837.2,1.26108,0.58631,1.41788,0.94397,0.94293,0.96924,0.566,1.4627,0.64176,1.72001,0.0090298,0.0090298,0.0090298
51,854.037,1.24916,0.5765,1.44202,0.95655,0.92864,0.97035,0.54706,1.59269,0.6199,1.8581,0.00901,0.00901,0.00901
52,870.844,1.25955,0.56528,1.44172,0.95332,0.94541,0.9728,0.55874,1.67163,0.6272,2.00922,0.0089902,0.0089902,0.0089902
53,887.686,1.25122,0.57067,1.41376,0.96135,0.93052,0.97596,0.5701,1.67021,0.61465,1.96156,0.0089704,0.0089704,0.0089704
54,904.485,1.23661,0.57042,1.4185,0.94941,0.92308,0.95861,0.52331,1.79687,0.66275,2.19733,0.0089506,0.0089506,0.0089506
55,921.334,1.23469,0.56626,1.40879,0.9567,0.95782,0.97578,0.55743,1.55861,0.68924,1.67738,0.0089308,0.0089308,0.0089308
56,938.176,1.23881,0.56793,1.39137,0.94457,0.96278,0.97071,0.57088,1.68429,0.63924,1.96221,0.008911,0.008911,0.008911
57,955.034,1.23915,0.56074,1.41387,0.96348,0.95285,0.98261,0.60919,1.62089,0.60986,1.90688,0.0088912,0.0088912,0.0088912
58,971.939,1.24127,0.58037,1.39822,0.93732,0.93797,0.97323,0.5562,1.69053,0.67797,2.04972,0.0088714,0.0088714,0.0088714
59,988.841,1.21558,0.56272,1.39327,0.94259,0.937,0.96562,0.54499,1.56196,0.7001,1.81963,0.0088516,0.0088516,0.0088516
60,1005.69,1.22194,0.55811,1.40158,0.9569,0.933,0.95668,0.56511,1.60642,0.64542,1.77897,0.0088318,0.0088318,0.0088318
61,1022.58,1.21052,0.54843,1.37292,0.95269,0.95533,0.97389,0.57146,1.63992,0.58499,1.90419,0.008812,0.008812,0.008812
62,1039.44,1.21491,0.54879,1.39384,0.94041,0.93986,0.95918,0.56635,1.55482,0.59817,1.78442,0.0087922,0.0087922,0.0087922
63,1056.34,1.20152,0.54422,1.38964,0.94127,0.95442,0.96916,0.57118,1.59955,0.62204,1.92065,0.0087724,0.0087724,0.0087724
64,1073.2,1.22998,0.56277,1.40494,0.9223,0.94253,0.95483,0.54275,1.76821,0.6536,2.26075,0.0087526,0.0087526,0.0087526
65,1090.03,1.19803,0.53804,1.39754,0.91014,0.95509,0.96193,0.5423,1.74379,0.66792,2.11472,0.0087328,0.0087328,0.0087328
66,1106.84,1.20848,0.55854,1.39638,0.93911,0.90571,0.95091,0.53121,1.74473,0.70341,2.22492,0.008713,0.008713,0.008713
67,1123.65,1.20301,0.54329,1.38975,0.94313,0.95533,0.97498,0.55878,1.68243,0.622,1.99357,0.0086932,0.0086932,0.0086932
68,1140.45,1.19509,0.55406,1.37366,0.93574,0.95037,0.97205,0.57507,1.62449,0.60701,1.93544,0.0086734,0.0086734,0.0086734
69,1157.28,1.1858,0.53186,1.36523,0.9521,0.95037,0.97237,0.56858,1.55663,0.71328,1.6674,0.0086536,0.0086536,0.0086536
70,1174.14,1.18878,0.53034,1.34185,0.9441,0.92194,0.96615,0.57012,1.59262,0.61699,1.80998,0.0086338,0.0086338,0.0086338
71,1191.07,1.1735,0.53061,1.36886,0.94838,0.95533,0.96996,0.56952,1.60087,0.61035,1.9144,0.008614,0.008614,0.008614
72,1207.94,1.16427,0.53283,1.36421,0.94425,0.95533,0.96584,0.55475,1.64332,0.63202,1.95386,0.0085942,0.0085942,0.0085942
73,1224.83,1.166,0.52396,1.36136,0.93495,0.92732,0.95956,0.52025,1.76668,0.5992,2.15523,0.0085744,0.0085744,0.0085744
74,1241.67,1.17249,0.52604,1.36897,0.92869,0.93723,0.96653,0.53337,1.707,0.66723,2.04129,0.0085546,0.0085546,0.0085546
75,1258.52,1.13305,0.52159,1.33826,0.93131,0.94045,0.96436,0.53548,1.81469,0.65766,2.16815,0.0085348,0.0085348,0.0085348
76,1275.35,1.15893,0.5148,1.33945,0.94794,0.9603,0.97393,0.57641,1.65526,0.55915,1.94918,0.008515,0.008515,0.008515
77,1292.31,1.1503,0.51459,1.34431,0.93159,0.94618,0.97004,0.52787,1.73492,0.63127,2.13968,0.0084952,0.0084952,0.0084952
78,1309.18,1.1697,0.54049,1.35799,0.95732,0.93548,0.96829,0.57972,1.62085,0.57798,1.9487,0.0084754,0.0084754,0.0084754
79,1326.08,1.15527,0.52045,1.35083,0.94451,0.95533,0.97747,0.55204,1.55045,0.57403,1.85694,0.0084556,0.0084556,0.0084556
80,1342.93,1.16784,0.53356,1.37514,0.92652,0.93869,0.9538,0.5444,1.64392,0.6218,2.00433,0.0084358,0.0084358,0.0084358
81,1359.87,1.15497,0.52779,1.38223,0.93725,0.91811,0.94986,0.50953,1.76673,0.73761,2.13719,0.008416,0.008416,0.008416
82,1376.74,1.11559,0.50378,1.36637,0.93237,0.92368,0.94262,0.52291,1.87483,0.64463,2.37118,0.0083962,0.0083962,0.0083962
83,1393.6,1.13378,0.51724,1.33943,0.942,0.96723,0.97529,0.59678,1.58333,0.61638,1.85319,0.0083764,0.0083764,0.0083764
84,1410.42,1.15828,0.53098,1.3418,0.92396,0.9648,0.96901,0.55863,1.66923,0.58278,2.00051,0.0083566,0.0083566,0.0083566
85,1427.31,1.14891,0.50882,1.35859,0.95555,0.94789,0.96317,0.58012,1.5954,0.58205,1.8289,0.0083368,0.0083368,0.0083368
86,1444.17,1.12752,0.50475,1.33311,0.92397,0.95285,0.96361,0.54935,1.63999,0.60234,1.94465,0.008317,0.008317,0.008317
87,1461.03,1.13708,0.51765,1.33736,0.9372,0.96284,0.97635,0.57973,1.5361,0.55587,1.83499,0.0082972,0.0082972,0.0082972
88,1477.89,1.13108,0.51603,1.3417,0.94171,0.96208,0.96727,0.57035,1.64064,0.57421,2.01503,0.0082774,0.0082774,0.0082774
89,1494.76,1.11116,0.51068,1.34538,0.95236,0.94244,0.97067,0.57587,1.65239,0.62639,2.01587,0.0082576,0.0082576,0.0082576
