epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1109.01,1.22669,0.67289,1.24645,0.92004,0.86763,0.94099,0.67075,1.27038,0.51908,1.33817,0.0091882,0.0091882,0.0091882
43,1135.27,1.22033,0.66369,1.23922,0.90697,0.87127,0.93667,0.65753,1.26201,0.53435,1.33652,0.0091684,0.0091684,0.0091684
44,1161.55,1.23098,0.66199,1.24738,0.89436,0.89339,0.94168,0.6657,1.28293,0.54287,1.33967,0.0091486,0.0091486,0.0091486
45,1187.58,1.22568,0.66126,1.25002,0.91749,0.87371,0.93875,0.66806,1.278,0.54588,1.35378,0.0091288,0.0091288,0.0091288
46,1213.53,1.21419,0.64928,1.24053,0.90458,0.89216,0.94291,0.6654,1.26542,0.52696,1.3333,0.009109,0.009109,0.009109
47,1239.6,1.22119,0.64768,1.24569,0.887,0.87205,0.93717,0.6645,1.28803,0.55041,1.34758,0.0090892,0.0090892,0.0090892
48,1265.77,1.21082,0.64136,1.2451,0.89706,0.87062,0.93035,0.6578,1.26846,0.53331,1.33747,0.0090694,0.0090694,0.0090694
49,1291.77,1.21645,0.64103,1.23926,0.90802,0.90408,0.94534,0.66802,1.26952,0.52109,1.33434,0.0090496,0.0090496,0.0090496
50,1317.76,1.20761,0.6281,1.23914,0.91517,0.88631,0.94889,0.6761,1.27264,0.51573,1.34454,0.0090298,0.0090298,0.0090298
51,1344.07,1.20381,0.62742,1.23077,0.88442,0.91569,0.95075,0.67629,1.27142,0.51398,1.34642,0.00901,0.00901,0.00901
52,1370.62,1.19799,0.63014,1.23997,0.88535,0.89451,0.9443,0.67487,1.28078,0.52824,1.34723,0.0089902,0.0089902,0.0089902
53,1396.98,1.19207,0.62327,1.23439,0.9136,0.88486,0.94346,0.67747,1.2585,0.53487,1.34194,0.0089704,0.0089704,0.0089704
54,1423.27,1.19126,0.61292,1.22829,0.88034,0.87501,0.93095,0.65723,1.2905,0.53503,1.34945,0.0089506,0.0089506,0.0089506
55,1449.6,1.20131,0.61742,1.23786,0.92706,0.88334,0.94308,0.66429,1.27245,0.51609,1.34005,0.0089308,0.0089308,0.0089308
56,1475.68,1.18772,0.61665,1.23505,0.89974,0.87061,0.9311,0.65238,1.33126,0.59099,1.38284,0.008911,0.008911,0.008911
57,1501.81,1.19442,0.61219,1.2295,0.92952,0.86772,0.94527,0.67088,1.29358,0.53908,1.36313,0.0088912,0.0088912,0.0088912
58,1528.23,1.1936,0.61319,1.23612,0.91502,0.89416,0.94058,0.66669,1.27747,0.51635,1.35194,0.0088714,0.0088714,0.0088714
59,1554.44,1.18488,0.60085,1.2267,0.9067,0.88714,0.94587,0.67319,1.27524,0.51655,1.34595,0.0088516,0.0088516,0.0088516
60,1580.46,1.18476,0.60666,1.22596,0.93308,0.88433,0.94867,0.675,1.26023,0.50184,1.34011,0.0088318,0.0088318,0.0088318
61,1606.65,1.18456,0.59488,1.22475,0.90241,0.87063,0.93198,0.65916,1.28862,0.54988,1.3548,0.008812,0.008812,0.008812
62,1632.55,1.17955,0.59618,1.22659,0.93067,0.88589,0.9447,0.67168,1.26798,0.50395,1.33889,0.0087922,0.0087922,0.0087922
63,1658.68,1.17552,0.59522,1.22737,0.93307,0.89894,0.95497,0.67404,1.27599,0.50889,1.3498,0.0087724,0.0087724,0.0087724
