epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1221.58,1.20167,0.6492,1.20503,0.92365,0.87517,0.94382,0.68054,1.25932,0.50131,1.26494,0.0091882,0.0091882,0.0091882
43,1248.28,1.19236,0.63785,1.19872,0.93002,0.90553,0.95344,0.67755,1.24596,0.5005,1.26065,0.0091684,0.0091684,0.0091684
44,1274.89,1.20313,0.63755,1.20185,0.92092,0.8978,0.95359,0.67914,1.2654,0.52141,1.27371,0.0091486,0.0091486,0.0091486
45,1301.46,1.20194,0.64097,1.20696,0.9128,0.89035,0.95273,0.6807,1.26417,0.51615,1.28788,0.0091288,0.0091288,0.0091288
46,1328.12,1.19335,0.62768,1.19876,0.92091,0.88522,0.94581,0.66973,1.25818,0.52361,1.28607,0.009109,0.009109,0.009109
47,1354.65,1.19466,0.6235,1.20143,0.91788,0.89081,0.95116,0.67543,1.267,0.49332,1.27387,0.0090892,0.0090892,0.0090892
48,1381.19,1.18537,0.62058,1.20158,0.92577,0.88102,0.95541,0.67999,1.24913,0.49894,1.26173,0.0090694,0.0090694,0.0090694
49,1407.77,1.1898,0.61984,1.19624,0.91687,0.89933,0.94971,0.67207,1.26565,0.4926,1.27832,0.0090496,0.0090496,0.0090496
50,1434.29,1.18302,0.61484,1.19977,0.91836,0.91351,0.95249,0.68112,1.24833,0.48791,1.26313,0.0090298,0.0090298,0.0090298
51,1460.97,1.17357,0.60483,1.19019,0.93874,0.90697,0.95691,0.68343,1.2595,0.49252,1.2771,0.00901,0.00901,0.00901
52,1487.55,1.17089,0.60823,1.18898,0.92968,0.90707,0.95575,0.67728,1.26517,0.48741,1.27362,0.0089902,0.0089902,0.0089902
53,1514.15,1.16197,0.60045,1.18764,0.91505,0.90205,0.95108,0.67719,1.26227,0.52125,1.28237,0.0089704,0.0089704,0.0089704
54,1540.67,1.16012,0.59199,1.18733,0.91821,0.92393,0.95568,0.67975,1.25321,0.47859,1.27777,0.0089506,0.0089506,0.0089506
55,1567.25,1.16495,0.58852,1.18908,0.94301,0.90446,0.95992,0.67716,1.26692,0.47715,1.2758,0.0089308,0.0089308,0.0089308
56,1593.75,1.15565,0.59136,1.18637,0.94004,0.88984,0.9532,0.68399,1.26893,0.48965,1.26933,0.008911,0.008911,0.008911
